nohup: ignoring input
/root/miniconda3/lib/python3.12/site-packages/torch_geometric/graphgym/config.py:19: UserWarning: Could not define global config object. Please install 'yacs' via 'pip install yacs' in order to use GraphGym
  warnings.warn("Could not define global config object. Please install "
/root/miniconda3/lib/python3.12/site-packages/torch_geometric/graphgym/imports.py:14: UserWarning: Please install 'pytorch_lightning' via  'pip install pytorch_lightning' in order to use GraphGym
  warnings.warn("Please install 'pytorch_lightning' via  "
/root/miniconda3/lib/python3.12/site-packages/torch_geometric/sampler/neighbor_sampler.py:61: UserWarning: Using 'NeighborSampler' without a 'pyg-lib' installation is deprecated and will be removed soon. Please install 'pyg-lib' for accelerated neighborhood sampling
  warnings.warn(f"Using '{self.__class__.__name__}' without a "
========== Running baseline 1/3 ==========
Training GCN with 2 layers...
可训练参数: 133385_GCN
不可训练参数: 0
batch size: (901, 901)
✅ Epoch 0: New best model saved with val_loss = 1.0749
/root/./pipeline/pipeline-Copy1.py:170: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(best_model_path))
Epoch 0, accuracy: 0.6416
Epoch 0, Train Loss: 1.3219, Val Loss: 1.0749
batch size: (911, 911)
✅ Epoch 1: New best model saved with val_loss = 1.0542
Epoch 1, accuracy: 0.6840
batch size: (893, 893)
✅ Epoch 2: New best model saved with val_loss = 1.0361
Epoch 2, accuracy: 0.6730
Epoch 2, Train Loss: 0.1807, Val Loss: 1.0361
batch size: (904, 904)
✅ Epoch 3: New best model saved with val_loss = 1.0217
Epoch 3, accuracy: 0.6501
batch size: (894, 894)
✅ Epoch 4: New best model saved with val_loss = 1.0085
Epoch 4, accuracy: 0.6523
Epoch 4, Train Loss: 0.0875, Val Loss: 1.0085
batch size: (899, 899)
✅ Epoch 5: New best model saved with val_loss = 0.9966
Epoch 5, accuracy: 0.6649
batch size: (890, 890)
✅ Epoch 6: New best model saved with val_loss = 0.9821
Epoch 6, accuracy: 0.6831
Epoch 6, Train Loss: 0.0308, Val Loss: 0.9821
batch size: (890, 890)
✅ Epoch 7: New best model saved with val_loss = 0.9697
Epoch 7, accuracy: 0.6999
batch size: (894, 894)
✅ Epoch 8: New best model saved with val_loss = 0.9579
Epoch 8, accuracy: 0.7145
Epoch 8, Train Loss: 0.0099, Val Loss: 0.9579
batch size: (885, 885)
✅ Epoch 9: New best model saved with val_loss = 0.9437
Epoch 9, accuracy: 0.7179
batch size: (882, 882)
✅ Epoch 10: New best model saved with val_loss = 0.9288
Epoch 10, accuracy: 0.7273
Epoch 10, Train Loss: 0.0091, Val Loss: 0.9288
batch size: (891, 891)
✅ Epoch 11: New best model saved with val_loss = 0.9137
Epoch 11, accuracy: 0.7328
batch size: (907, 907)
✅ Epoch 12: New best model saved with val_loss = 0.9028
Epoch 12, accuracy: 0.7347
Epoch 12, Train Loss: 0.0068, Val Loss: 0.9028
batch size: (903, 903)
✅ Epoch 13: New best model saved with val_loss = 0.8857
Epoch 13, accuracy: 0.7368
batch size: (920, 920)
✅ Epoch 14: New best model saved with val_loss = 0.8751
Epoch 14, accuracy: 0.7371
Epoch 14, Train Loss: 0.0063, Val Loss: 0.8751
batch size: (895, 895)
✅ Epoch 15: New best model saved with val_loss = 0.8582
Epoch 15, accuracy: 0.7384
batch size: (909, 909)
✅ Epoch 16: New best model saved with val_loss = 0.8462
Epoch 16, accuracy: 0.7382
Epoch 16, Train Loss: 0.0018, Val Loss: 0.8462
batch size: (884, 884)
✅ Epoch 17: New best model saved with val_loss = 0.8300
Epoch 17, accuracy: 0.7389
batch size: (901, 901)
✅ Epoch 18: New best model saved with val_loss = 0.8206
Epoch 18, accuracy: 0.7399
Epoch 18, Train Loss: 0.0017, Val Loss: 0.8206
batch size: (909, 909)
✅ Epoch 19: New best model saved with val_loss = 0.8072
Epoch 19, accuracy: 0.7387
batch size: (893, 893)
✅ Epoch 20: New best model saved with val_loss = 0.7940
Epoch 20, accuracy: 0.7382
Epoch 20, Train Loss: 0.0023, Val Loss: 0.7940
batch size: (895, 895)
✅ Epoch 21: New best model saved with val_loss = 0.7861
Epoch 21, accuracy: 0.7377
batch size: (907, 907)
✅ Epoch 22: New best model saved with val_loss = 0.7674
Epoch 22, accuracy: 0.7391
Epoch 22, Train Loss: 0.0019, Val Loss: 0.7674
batch size: (885, 885)
✅ Epoch 23: New best model saved with val_loss = 0.7522
Epoch 23, accuracy: 0.7377
batch size: (887, 887)
✅ Epoch 24: New best model saved with val_loss = 0.7459
Epoch 24, accuracy: 0.7381
Epoch 24, Train Loss: 0.0025, Val Loss: 0.7459
batch size: (912, 912)
✅ Epoch 25: New best model saved with val_loss = 0.7302
Epoch 25, accuracy: 0.7367
batch size: (917, 917)
✅ Epoch 26: New best model saved with val_loss = 0.7214
Epoch 26, accuracy: 0.7370
Epoch 26, Train Loss: 0.0011, Val Loss: 0.7214
batch size: (891, 891)
✅ Epoch 27: New best model saved with val_loss = 0.7100
Epoch 27, accuracy: 0.7322
batch size: (888, 888)
✅ Epoch 28: New best model saved with val_loss = 0.6949
Epoch 28, accuracy: 0.7310
Epoch 28, Train Loss: 0.0011, Val Loss: 0.6949
batch size: (890, 890)
✅ Epoch 29: New best model saved with val_loss = 0.6872
Epoch 29, accuracy: 0.7276
batch size: (898, 898)
✅ Epoch 30: New best model saved with val_loss = 0.6721
Epoch 30, accuracy: 0.7268
Epoch 30, Train Loss: 0.0011, Val Loss: 0.6721
batch size: (910, 910)
✅ Epoch 31: New best model saved with val_loss = 0.6598
Epoch 31, accuracy: 0.7248
batch size: (888, 888)
✅ Epoch 32: New best model saved with val_loss = 0.6578
Epoch 32, accuracy: 0.7252
Epoch 32, Train Loss: 0.0006, Val Loss: 0.6578
batch size: (902, 902)
✅ Epoch 33: New best model saved with val_loss = 0.6498
Epoch 33, accuracy: 0.7252
batch size: (904, 904)
✅ Epoch 34: New best model saved with val_loss = 0.6408
Epoch 34, accuracy: 0.7229
Epoch 34, Train Loss: 0.0014, Val Loss: 0.6408
batch size: (887, 887)
✅ Epoch 35: New best model saved with val_loss = 0.6281
Epoch 35, accuracy: 0.7199
batch size: (900, 900)
✅ Epoch 36: New best model saved with val_loss = 0.6201
Epoch 36, accuracy: 0.7243
Epoch 36, Train Loss: 0.0008, Val Loss: 0.6201
batch size: (908, 908)
✅ Epoch 37: New best model saved with val_loss = 0.6091
Epoch 37, accuracy: 0.7187
batch size: (897, 897)
✅ Epoch 38: New best model saved with val_loss = 0.6082
Epoch 38, accuracy: 0.7207
Epoch 38, Train Loss: 0.0006, Val Loss: 0.6082
batch size: (896, 896)
✅ Epoch 39: New best model saved with val_loss = 0.5938
Epoch 39, accuracy: 0.7201
batch size: (892, 892)
✅ Epoch 40: New best model saved with val_loss = 0.5929
Epoch 40, accuracy: 0.7189
Epoch 40, Train Loss: 0.0004, Val Loss: 0.5929
batch size: (892, 892)
Epoch 41, accuracy: 0.7211
batch size: (913, 913)
✅ Epoch 42: New best model saved with val_loss = 0.5788
Epoch 42, accuracy: 0.7207
Epoch 42, Train Loss: 0.0005, Val Loss: 0.5788
batch size: (886, 886)
Epoch 43, accuracy: 0.7223
batch size: (913, 913)
✅ Epoch 44: New best model saved with val_loss = 0.5662
Epoch 44, accuracy: 0.7223
Epoch 44, Train Loss: 0.0008, Val Loss: 0.5662
batch size: (899, 899)
Epoch 45, accuracy: 0.7221
batch size: (877, 877)
Epoch 46, accuracy: 0.7211
Epoch 46, Train Loss: 0.0013, Val Loss: 0.5731
batch size: (887, 887)
Epoch 47, accuracy: 0.7215
batch size: (905, 905)
Epoch 48, accuracy: 0.7204
Epoch 48, Train Loss: 0.0012, Val Loss: 0.5691
batch size: (896, 896)
✅ Epoch 49: New best model saved with val_loss = 0.5623
Epoch 49, accuracy: 0.7225
Loaded best model with val_loss = 0.5623301267623901
test :accuracy 0.7223, f1_macro: 0.7180, f1_micro: 0.7223, auc: 0.8766
Training GCN with 8 layers...
可训练参数: 532745_GCN
不可训练参数: 0
batch size: (896, 896)
✅ Epoch 0: New best model saved with val_loss = 1.1570
Epoch 0, accuracy: 0.1663
Epoch 0, Train Loss: 1.1924, Val Loss: 1.1570
batch size: (913, 913)
✅ Epoch 1: New best model saved with val_loss = 1.1362
Epoch 1, accuracy: 0.4274
batch size: (896, 896)
Epoch 2, accuracy: 0.4330
Epoch 2, Train Loss: 1.1686, Val Loss: 1.1724
batch size: (900, 900)
Epoch 3, accuracy: 0.4291
batch size: (904, 904)
Epoch 4, accuracy: 0.4307
Epoch 4, Train Loss: 0.9727, Val Loss: 1.3868
batch size: (893, 893)
Epoch 5, accuracy: 0.1651
batch size: (913, 913)
Epoch 6, accuracy: 0.1680
Epoch 6, Train Loss: 0.9743, Val Loss: 1.6279
batch size: (916, 916)
Epoch 7, accuracy: 0.1694
batch size: (886, 886)
Epoch 8, accuracy: 0.1713
Epoch 8, Train Loss: 0.7359, Val Loss: 1.7303
batch size: (894, 894)
Epoch 9, accuracy: 0.1674
batch size: (917, 917)
